id,happiness,survey_type,province,city,county,survey_time,gender,birth,nationality,religion,religion_freq,edu,edu_status,income,political,floor_area,property_0,property_1,property_2,property_3,property_4,property_5,property_6,property_7,property_8,height_cm,weight_jin,health,health_problem,depression,hukou,hukou_loc,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,leisure_10,leisure_11,leisure_12,socialize,relax,learn,social_neighbor,social_friend,socia_outing,equity,class,class_10_before,class_10_after,class_14,work_exper,insur_1,insur_2,insur_3,insur_4,family_income,family_m,family_status,house,car,invest_0,invest_1,invest_2,invest_3,invest_4,invest_5,invest_6,invest_7,invest_8,son,daughter,minor_child,marital,marital_1st,s_birth,s_edu,s_political,s_hukou,s_work_exper,f_edu,f_political,f_work_14,m_edu,m_political,m_work_14,status_peer,status_3_before,view,inc_ability,inc_exp,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_13,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,F,Z,q
1,3,1,12,32,59,2015/8/4 14:18,1,57,1,1,1,11,4,20000,1,45,0,1,0,0,0,0,0,0,0,176,155,3,2,5,5,2,4,2,5,5,4,3,1,4,3,1,2,3,4,1,4,5,4,1,2,4,3,3,3,2,3,3,3,3,1,1,1,1,1,2,60000,2,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,3,32,58,6,1,5,5,4,4,1,4,1,1,3,2,4,3,50000,4,2,4,4,5,3,2,3,4,3,1,4,50,60,50,50,30,30,50,50,50,0,0,1
2,3,2,18,52,85,2015/7/21 15:04,1,24,1,1,1,12,4,20000,1,110,0,0,0,0,1,0,0,0,0,170,110,5,4,3,1,1,2,2,1,3,5,1,2,3,4,3,5,4,3,2,3,4,5,1,2,4,3,6,2,1,3,6,4,8,5,1,1,1,1,1,40000,3,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,24,4,0,1,3,3,1,2,3,1,2,1,1,4,2,50000,5,4,4,3,5,3,3,3,2,3,2,3,90,70,70,80,85,70,90,60,60,2,2,0
3,3,2,29,83,126,2015/7/21 13:24,2,49,1,0,3,4,4,2000,1,120,0,1,1,0,0,0,0,0,0,160,122,4,4,5,1,1,2,2,2,5,1,3,1,4,4,3,5,4,4,2,3,5,5,5,3,4,2,2,5,2,4,5,4,6,3,2,1,1,2,2,8000,3,3,1,2,0,1,0,0,0,0,0,0,0,0,2,1,3,26,48,3,1,1,3,1,1,2,1,1,2,2,1,4,2,80000,3,3,3,3,4,3,3,3,3,3,1,4,90,80,75,79,80,90,90,90,75,1,1,1
4,4,2,10,28,51,2015/7/25 17:33,2,73,1,1,1,3,4,6420,1,78,0,0,0,1,0,0,0,0,0,163,170,4,4,4,1,2,2,1,1,5,1,1,1,5,2,4,5,4,5,1,1,5,5,5,2,4,4,1,6,1,4,5,5,7,2,4,2,2,2,2,12000,3,3,1,1,0,1,0,0,0,0,0,0,0,1,4,0,7,56,73,4,0,1,3,14,1,2,1,1,2,2,1,3,2,10000,3,3,4,3,5,3,3,5,4,3,2,3,100,90,70,80,80,90,90,80,80,0,2,0
5,3,1,7,18,36,2015/8/10 9:50,2,22,1,1,1,12,1,0,2,70,0,0,0,0,1,0,0,0,0,165,110,5,5,3,2,3,1,3,4,2,5,5,3,3,3,2,4,4,3,5,2,5,5,1,4,3,4,7,5,3,2,1,1,1,4,6,1,2,2,2,40000,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22,4,0,1,3,6,1,10,4,1,15,3,2,3,2,200000,4,3,3,3,5,5,3,4,3,3,2,2,50,50,50,50,50,50,50,50,50,0,0,0
6,4,2,18,52,86,2015/7/18 12:09,1,70,1,1,1,2,1,5000,1,300,0,1,1,0,0,0,0,0,0,172,140,5,5,4,1,1,1,1,4,4,1,1,1,5,4,5,5,4,4,4,3,5,3,5,3,3,2,3,4,1,4,8,1,8,1,4,1,1,2,2,5000,2,3,1,2,0,1,0,0,0,0,0,0,0,2,1,0,3,28,67,1,1,1,4,2,1,2,1,1,2,3,1,4,3,10000,4,3,4,3,5,4,3,3,4,3,3,4,90,90,90,90,90,90,80,90,90,7,0,-3
7,3,1,10,27,49,2015/7/26 14:51,1,53,1,1,1,4,4,0,4,89,0,1,0,0,0,0,0,0,0,160,120,2,2,2,2,2,2,2,2,5,1,2,1,5,5,5,5,4,4,4,4,4,4,5,1,3,1,3,3,1,4,2,2,3,2,1,1,1,2,2,40000,3,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,3,29,53,4,1,2,1,3,1,1,1,1,15,3,2,4,3,50000,4,3,4,4,4,3,3,3,4,3,3,4,80,80,50,70,60,50,60,80,80,0,1,0
8,3,1,11,31,54,2015/7/19 13:12,1,57,1,0,8,4,4,0,1,130,0,0,1,0,0,0,0,0,0,176,140,3,5,5,2,1,3,1,3,4,1,1,1,5,5,3,5,4,4,5,4,4,5,5,3,3,3,4,3,1,4,2,1,2,1,5,1,1,2,2,40000,2,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0,3,37,57,4,1,2,4,1,1,2,1,1,2,2,2,4,2,50000,5,5,5,5,5,5,5,5,5,5,5,4,70,70,70,70,70,70,80,70,70,1,0,0
9,3,2,28,81,122,2015/8/1 9:25,1,64,1,1,1,3,4,1600,1,36,0,1,0,0,0,0,0,0,0,175,95,2,2,2,1,1,1,1,1,3,1,1,2,5,4,5,5,4,4,5,4,5,5,5,2,2,1,5,6,2,4,3,3,5,2,2,1,1,2,2,1600,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,64,4,0,1,3,1,1,2,1,1,2,3,2,3,3,5000,3,2,2,4,5,5,5,2,4,4,2,5,82,70,60,82,84,85,86,87,85,0,2,0
10,3,2,24,70,110,2015/8/3 19:23,1,31,1,1,1,3,2,60000,1,80,0,0,0,0,1,0,0,0,0,172,140,4,5,4,1,1,1,1,1,4,4,1,1,5,3,5,5,3,4,5,5,5,5,1,3,3,2,5,5,6,4,5,5,6,3,5,1,2,2,2,60000,5,3,1,1,0,1,0,0,0,0,0,0,0,0,2,2,3,5,25,7,1,1,5,14,1,2,1,1,2,2,2,3,2,120000,4,3,4,3,3,3,3,4,3,3,2,5,60,60,60,60,60,60,60,60,60,0,1,-6
